Field,Old Title/Caption,NEW Title/Caption
ActivityStateModifiedDT,Activity State Modified Date Time,Activity State Modified
BatchCreationDateTime,Batch Creation on,Batch Created
DispositionModifiedDT,Disposition Modified Date Time,Disposition Modified
DocumentSubmittedDate,Document Submitted Date,Document Submitted
DocumentTimeFrameBeginDate,Request Time Frame Begin Date,Request Time Frame Begin
DocumentTimeFrameBeginDate,Batch Request Time Frame Begin Date,Batch Request Time Frame Begin
DocumentTimeFrameEndDate,Request Time Frame End Date,Request Time Frame End
DocumentTimeFrameEndDate,Batch Request Time Frame End Date,Batch Request Time Frame End
FormatValidationStatusModifiedDT,Format Validation Status Modified Date Time,Format Validation Status Modified
FunctionalGroupDateTime,Functional Group Date Time,Functional Group
InformationDateTime,Batch Document Submitted Date,Batch Document Submitted
InformationDateTime,Document Submitted Date,Document Submitted
InterchangeDateTime,Interchange Date Time,Interchange Created
LineServiceBeginDate,Line Service Begin Date,Line Service Begin
LineServiceEndDate,Line Service End Date,Line Service End
LoadDT,Load Date Time,Loaded
LoadDT,Load Date,Loaded
LoadDT,Batch Load Date,Batch Loaded
ReceiptDT,Receipt Date Time,Receipt
ReceiptDT,Receipt Date,Receipt
ReceiptDT,Batch Receipt Date,Batch Receipt
ResponseDueDate,Response Due Date,Response Due
ResponseDueDate,Batch Response Due By,Batch Response Due
ResponseDueDate,Response Due By,Response Due
ServiceBeginDate,Claim Service Begin Date,Claim Service Begin
ServiceEndDate,Claim Service End Date,Claim Service End
StatusInformationEffectiveDate,Request Date,Requested
StatusInformationEffectiveDateTime,Request Date,Requested
